,Concept_ID,xal,ce
0,Auge::N,нүдн,бӏаьрг
1,Ohr::N,чикн,лерг
2,Nase::N,хамр,мара
3,Mund::N,амн,бага
4,Zahn::N,шүдн,церг
5,Zunge::N,келн,мотт
6,Lippe::N,урл,балда
7,Wange::N,халх,бесни
8,Gesicht::N,нүр,юьхь
9,Stirn::N,маңна,хьаж
10,Haar::N,үсн,мас
11,Schnurrbart::N,сахл,мекх
12,Bart::N,сахл,маж
13,Bart::N,өргнә сахл,маж
14,Kinn::N,өргн,чӏениг
15,Kiefer[Anatomie]::N,өргн,мочхал
16,Kehle::N,хол,къамкъарг
17,Hals::N,күзүн,ворта
18,Genick::N,гиҗг,кӏесаркӏаг
19,Kopf::N,толһа,корта
20,Rücken::N,нурһн,букъ
21,Bauch::N,гесн,кийра
22,Nabel::N,киисн,цӏонга
23,Busen::N,көкн,зударийн накха
24,Brust::N,чееҗ,накха
25,Schulter::N,ээм,белш
26,Arm::N,һар,пхьарс
27,Ellenbogen::N,тоха,пхьаьрсан гола
28,Hand::N,баһлцг,куьг
29,Handfläche::N,альхн,кераюкъ
30,Finger::N,хурһн,пӏелг
31,Finger::N,һарин хурһн,пӏелг
32,Fingernagel::N,хумсн,мӏара
33,Nagel[Anatomie]::N,хумсн,мӏара
34,Zeh::N,хурһн,кога пӏелг
35,Zeh::N,көлин хурһн,кога пӏелг
36,Fuß::N,тавг,ког
37,Ferse::N,өскә,кӏажа
38,Knie::N,өвдг,гола
39,Oberschenkel::N,һуй,варе
40,Bein::N,көл,ког
41,Körper::N,махмуд,хӏума
42,Haut::N,арсн,чкъор
43,Blut::N,цусн,цӏий
44,Ader::N,судцн,пха
45,Sehne::N,шүрүсн,хьорзам
46,Knochen::N,ясн,даьӏахк
47,Gehirn::N,экн,хье
48,Herz::N,зүркн,дог
49,Magen::N,гесн,зорх
50,Leber::N,элкн,доӏах
51,Atem::N,әмсхл,садеӏар
52,Hunger::N,харһнлһн,мацалла
53,Träne::N,нульмсн,бӏаьрхи
54,Geschmack::N,амтн,чам
55,Geruch::N,үнр,хьожа
56,Schlaf::N,нөр,наб
57,Traum::N,зүүдн,гӏан
58,Himmel::N,теңгр,стигал
