,Concept_ID,xal,kv
0,Auge::N,нүдн,син
1,Ohr::N,чикн,пель
2,Nase::N,хамр,ныр
3,Mund::N,амн,ӧм
4,Zahn::N,шүдн,пинь
5,Zunge::N,келн,кыв
6,Lippe::N,урл,тырп
7,Wange::N,халх,рожабан
8,Gesicht::N,нүр,бан
9,Stirn::N,маңна,кымӧс
10,Haar::N,үсн,юрси
11,Schnurrbart::N,сахл,уссэз
12,Bart::N,сахл,тош
13,Bart::N,өргнә сахл,тош
14,Kinn::N,өргн,тшӧка
15,Kiefer[Anatomie]::N,өргн,ан
16,Kehle::N,хол,юан
17,Hals::N,күзүн,юан
18,Genick::N,гиҗг,юр бӧр
19,Kopf::N,толһа,юр
20,Rücken::N,нурһн,мышк
21,Bauch::N,гесн,кынӧм
22,Nabel::N,киисн,гӧг
23,Busen::N,көкн,морос
24,Brust::N,чееҗ,морос
25,Schulter::N,ээм,пельпон
26,Arm::N,һар,ки
27,Ellenbogen::N,тоха,гырдзза
28,Hand::N,баһлцг,кикар
29,Handfläche::N,альхн,ки пыдӧс
30,Finger::N,хурһн,чунь
31,Finger::N,һарин хурһн,чунь
32,Fingernagel::N,хумсн,гыж
33,Nagel[Anatomie]::N,хумсн,гыж
34,Zeh::N,хурһн,чунь
35,Zeh::N,көлин хурһн,чунь
36,Fuß::N,тавг,кокпыдӧс
37,Ferse::N,өскә,кокдзир
38,Knie::N,өвдг,пидзӧс
39,Oberschenkel::N,һуй,лядьбей
40,Bein::N,көл,кок
41,Körper::N,махмуд,вывтыр
42,Haut::N,арсн,кучик
43,Blut::N,цусн,вир
44,Ader::N,судцн,сӧн
45,Sehne::N,шүрүсн,жила
46,Knochen::N,ясн,коска
47,Gehirn::N,экн,вем
48,Herz::N,зүркн,сьӧлӧм
49,Magen::N,гесн,жӧвдӧк
50,Leber::N,элкн,мус
51,Atem::N,әмсхл,лолалӧм
52,Hunger::N,харһнлһн,тшыг
53,Träne::N,нульмсн,синва
54,Geschmack::N,амтн,кӧр
55,Geruch::N,үнр,дук
56,Schlaf::N,нөр,он
57,Traum::N,зүүдн,вӧт
