,Concept_ID,xal,la
0,Auge::N,нүдн,oculus
1,Ohr::N,чикн,auris
2,Nase::N,хамр,nasus
3,Mund::N,амн,os
4,Zahn::N,шүдн,dens
5,Zunge::N,келн,lingua
6,Lippe::N,урл,labrum
7,Wange::N,халх,gena
8,Gesicht::N,нүр,vultus
9,Stirn::N,маңна,frons
10,Haar::N,үсн,capillus
11,Schnurrbart::N,сахл,barba labri superioris
12,Bart::N,сахл,barba
13,Bart::N,өргнә сахл,barba
14,Kinn::N,өргн,mentum
15,Kiefer[Anatomie]::N,өргн,mala
16,Kehle::N,хол,iugulums
17,Hals::N,күзүн,collum
18,Genick::N,гиҗг,cervices
19,Kopf::N,толһа,caput
20,Rücken::N,нурһн,tergum
21,Bauch::N,гесн,venter
22,Nabel::N,киисн,umbilicus
23,Busen::N,көкн,sinus
24,Brust::N,чееҗ,pectus
25,Schulter::N,ээм,umerus
26,Arm::N,һар,bracchium
27,Ellenbogen::N,тоха,cubitum
28,Hand::N,баһлцг,manus
29,Handfläche::N,альхн,palma
30,Finger::N,хурһн,digitus
31,Finger::N,һарин хурһн,digitus
32,Fingernagel::N,хумсн,unguiculus
33,Nagel[Anatomie]::N,хумсн,unguis
34,Zeh::N,хурһн,digitus
35,Zeh::N,көлин хурһн,digitus
36,Fuß::N,тавг,pes
37,Ferse::N,өскә,calx
38,Knie::N,өвдг,genu
39,Oberschenkel::N,һуй,femur
40,Bein::N,көл,crus
41,Körper::N,махмуд,corpus
42,Haut::N,арсн,cutis
43,Haut::N,арсн,pellis
44,Blut::N,цусн,sanguis
45,Ader::N,судцн,vena
46,Sehne::N,шүрүсн,nervus
47,Knochen::N,ясн,os
48,Gehirn::N,экн,cerebrum
49,Herz::N,зүркн,cor
50,Herz::N,зүркн,animus
51,Magen::N,гесн,stomachus
52,Leber::N,элкн,iecur
53,Atem::N,әмсхл,spiritus
54,Hunger::N,харһнлһн,fames
55,Träne::N,нульмсн,lacrima
56,Geschmack::N,амтн,sapor
57,Geschmack::N,амтн,gustus
58,Geruch::N,үнр,odor
59,Schlaf::N,нөр,somnus
60,Traum::N,зүүдн,somnium
61,Himmel::N,теңгр,caelum
62,Sonne::N,нарн,sol
63,Mond::N,сар,luna
64,Stern::N,одн,sidus
65,Stern::N,одн,stella
66,Luft::N,аһар,aer
67,Wind::N,салькн,ventus
68,Welle::N,дольган,unda
69,Wasser::N,усн,aqua
70,Stein::N,чолун,lapis
71,Boden::N,Һазр,solum
72,Erde::N,Һазр,terra
73,Staub::N,тоосн,pulvis
74,Rauch::N,утан,fumus
75,Funke::N,очн,scintilla
76,Feuer::N,һал,ignis
77,Licht::N,герл,lux
78,Licht::N,герл,lumen
79,Schatten::N,сүүдр,umbra
80,Wetter::N,теңгр,caelum
81,Wetter::N,теңгр,tempestas
82,Nebel::N,будн,nebula
83,Wolke::N,үүлн,nubes
84,Regen::N,хур,imber
85,Regen::N,хур,pluvia
86,Schnee::N,цасн,nix
87,Eis::N,мөсн,glacies
88,Frost::N,киитн,gelu
89,Kälte::N,киитн,frigus
90,Hitze::N,халун,calor
91,Hitze::N,халун,aestus
92,Raureif::N,цаң,pruina
93,Raureif::N,кирү,pruina
94,Regenbogen::N,солңһ,arcus
95,Donner::N,оһтрһун дун,tonitrus
96,Strömung::N,урсхл,fluctus
97,Tropfen::N,дусал,gutta
98,Schaum::N,көөсн,spuma
99,Schmutz::N,кир,sordes
100,Schmutz::N,кир,squalor
101,See::N,нур,lacus
102,Sumpf::N,унул,palus
103,Moor::N,улм,palus
104,Wiese::N,хадлһн,pratum
105,Wald::N,ө-модн,silva
106,Hügel::N,толһа,collis
107,Anhöhe::N,хамр,specula
108,Berg::N,уул,mons
109,Gipfel::N,ора,vertex
110,Höhle::N,хадин көндә,caverna
111,Höhle::N,хадин көндә,spelunca
112,Abhang::N,ташу,declivum
113,Quelle::N,булг,fons
114,Bach::N,һооҗур,rivus
115,Fluss::N,һол,flumen
116,Ufer::N,көвә,ripa
117,Küste::N,көвә,litus
118,Küste::N,теңгсин көвә,litus
119,Festland::N,хүүрә һазр,continens
120,Meer::N,теңгс,mare
121,Bucht::N,цекә,sinus
122,Bucht::N,теңгсин цекә,sinus
123,Insel::N,арл,insula
124,Blume::N,цецг,flos
125,Gras::N,ноһан,herba
126,Gras::N,ноһан,gramen
127,Wurzel::N,уңг,radix
128,Baum::N,модн,arbor
129,Stamm::N,шилв,truncus
130,Stamm::N,һол модн,truncus
131,Rinde::N,көрсн,cortex
132,Ast::N,ац,ramus
133,Zweig::N,ац,ramus
134,Blatt::N,хамтхасн,folium
135,Birke::N,хусм модн,betulla
136,Kiefer[Baum]::N,шар харһа,pinus
137,Weide[Baum]::N,удн,salix
138,Tanne::N,җөөлн цаһан модн,abies
139,Horn::N,өвр,cornu
140,Feder::N,өрвлг,penna
141,Fell::N,арсн,pellis
142,Flügel::N,җивр,ala
143,Klaue::N,хумсн,unguis
144,Kralle::N,тавг,unguis
145,Schwanz::N,сүл,cauda
146,Ei::N,өндгн,ovum
147,Nest::N,үр,nidus
148,Bau::N,нүкн,cavum
149,Bau::N,нүкн,latibulum
150,Tier::N,мал,bestia
151,Herde::N,сүрг мал,grex
152,Kuh::N,үкр,vacca
153,Bulle::N,бух,taurus
154,Pferd::N,мөрн,equus
155,Schaf::N,хөн,ovis
156,Schwein::N,һаха,sus
157,Schwein::N,һаха,porcus
158,Hund::N,ноха,canis
159,Katze::N,мис,felis
160,Bär::N,аю,ursus
161,Eichhörnchen::N,кермн,sciurus
162,Elch::N,хандһа,alces
163,Fuchs::N,арат,vulpes
164,Hase::N,туула,lepus
165,Maus::N,хулһн,mus
166,Wolf::N,чон,lupus
167,Vogel::N,шовун,avis
168,Schwarm::N,зел,examen
169,Huhn::N,така,gallina
170,Hahn::N,эр така,gallus
171,Gans::N,һалун,anser
172,Adler::N,һәрд,aquila
173,Ente::N,нуһсн,anas
174,Eule::N,һурвлһ,ulula
175,Eule::N,һурвлһ,noctua
176,Kranich::N,тоһрун,grus
177,Krähe::N,шаазһа,cornix
178,Kuckuck::N,эргин хуцдг,cuculus
179,Schwan::N,хун,olor
180,Schwan::N,хун,cycnus
181,Fisch::N,заһсн,piscis
182,Barsch::N,шүрг,perca
183,Hecht::N,цурх,esox
184,Schlange[Tier]::N,моһа,serpens
185,Wurm::N,өтн,vermis
186,Spinne::N,аралҗн,aranea
187,Ameise::N,шорһлҗн,formica
188,Laus::N,бөөсн,pediculus
189,Mücke::N,бөкүн,culex
190,Fliege::N,батхн,musca
191,Schmetterling::N,эрвәкә,papilio
192,Beere::N,бөөлҗрһн,baca
193,Apfel::N,альмн,malum
194,Pilz::N,теңгрин ки,fungus
195,Zwiebel::N,мәңгрснә толһа,cepa
196,Saat::N,буудян экн,seges
197,Korn::N,экн,granum
198,Heu::N,өвсн,faenum
199,Schale::N,хальсн,putamen
200,Grube::N,нүкн,fovea
201,Falle::N,урх,pedica
202,Falle::N,хавх,pedica
203,Schlinge::N,бүтү,laqueus
204,Spur::N,мөр,vestigium
205,Asche::N,үмсн,cinis
206,Dreck::N,бальчг,lutum
207,Eisen::N,төмр,ferrum
208,Gold::N,алтн,aurum
209,Silber::N,мөңгн,argentum
210,Silber::N,цаһан мөңгн,argentum
211,Kohle::N,нүүрсн,carbo
212,Glas::N,шил,vitrum
213,Lehm::N,шавр,lutum
214,Sand::N,элсн,arena
215,Mensch::N,күн,homo
216,Mensch::N,күмн,homo
217,Mann::N,эр,vir
218,Frau::N,күүкд күн,mulier
219,Kind::N,үрн,puer
220,Kind::N,үрн,infans
221,Junge::N,көвүн,puer
222,Mädchen::N,бичкн күүкн,puella
223,Familie::N,бүл,familia
224,Großvater::N,өвк эцк,avus
225,Großvater::N,наһц эцк,avus
226,Großmutter::N,эмг эк,avia
227,Großmutter::N,наһц эк,avia
228,Eltern::N,эк эцк хойр,parentes
229,Vater::N,эцк,pater
230,Mutter::N,эк,mater
231,Sohn::N,көвүн,filius
232,Tochter::N,күүкн,filia
233,Bruder::N,дү көвүн,frater
234,Schwester::N,эгч,soror
235,Schwester::N,дү күүкн,soror
236,Onkel::N,авһ,patruus
237,Onkel::N,авһ,avunculus
238,Onkel::N,наһцх,patruus
239,Onkel::N,наһцх,avunculus
240,Tante::N,наһц эгч,amita
241,Ehemann::N,залу,maritus
242,Ehefrau::N,гергн,uxor
243,Freude::N,байр,gaudium
244,Freude::N,байр,laetitia
245,Gelächter::N,инәдн,risus
246,Glück::N,җирһл,felicitas
247,Glück::N,сәәхн җирһл,felicitas
248,Kummer::N,зовлң,aegritudo
249,Wunsch::N,дурн,voluntas
250,Wunsch::N,дурн,desiderium
251,Lust::N,җилвтлһн,libido
252,Lust::N,җилвтлһн,voluptas
253,Geist::N,зөрг,mens
254,Geist::N,зөрг,animus
255,Gedanke::N,ухан,sententia
256,Gedächtnis::N,чееҗин тодлвр,memoria
257,Verstand::N,ухан,ratio
258,Verstand::N,ухан,ingenium
259,Sinn::N,учр-утх,sensus
260,Grund::N,учр,causa
261,Grund::N,шалтан,causa
262,Wahrheit::N,үнн,veritas
263,Gespräch::N,күүндвүр,sermo
264,Märchen::N,тууль,fabula
265,Erzählung::N,келвр,fabula
266,Erzählung::N,келвр,narratio
267,Nachricht::N,медүллһн,nuntius
268,Neuigkeit::N,зәңг,novitas
269,Name::N,нерн,nomen
270,Rätsel::N,тәәлвртә тууль,aenigma
271,Rede::N,келлһн,oratio
272,Sprache::N,келн,lingua
273,Stimme::N,дун,vox
274,Wort::N,үг,verbum
275,Wort::N,үг,vocabulum
276,Zeichen::N,темдг,signum
277,Ruf::N,дуудлһн,clamor
278,Lärm::N,шууган,strepitus
279,Laut::N,ә,sonus
280,Ton::N,дун,sonus
281,Lied::N,дун,carmen
282,Ruhe::N,амулң,quies
283,Leute::N,әмтн,homines
284,Volk::N,улс,populus
285,Arbeit::N,көдлмш,labor
286,Gast::N,гиич,hospes
287,Gast::N,гиич,conviva
288,Geschenk::N,белг,munus
289,Spiel::N,наадн,ludus
290,Gesellschaft::N,олн,societas
291,Hilfe::N,нөкд,auxilium
292,Hilfe::N,нөкд,subsidium
293,Freund::N,иньг,amicus
294,Kamerad::N,үр,socius
295,Angelegenheit::N,керг,res
296,Anzahl::N,то,numerus
297,Art::N,зүүл,genus
298,Stück::N,хусг,frustum
299,Stück::N,хусг,fragmentum
300,Teil::N,хүв,pars
301,Hälfte::N,өрәл,dimidium
302,Kreis::N,төгрг,orbis
303,Kreis::N,төгрг,circus
304,Kreuz::N,кирс,crux
305,Linie::N,зурасн,linea
306,Strich::N,татасн,lineamentum
307,Abstand::N,зә,intervallum
308,Entfernung::N,һазр,spatium
309,Gegend::N,һазр,loca
310,Gegend::N,һазр,regio
311,Platz::N,зә,locus
312,Ort::N,бәәрн,locus
313,Seite::N,тал,latus
314,Seite::N,хаҗу,latus
315,Seite::N,хәврһ,latus
316,Mitte::N,дунд,medium
317,Gegenstand::N,юмн,res
318,Sache::N,юмн,res
319,Rand::N,зах,margo
320,Kante::N,ирмәг,angulus
321,Ecke::N,өнцг,angulus
322,Spitze::N,үзүр,cacumen
323,Ende::N,үзүр,caput
324,Loch::N,хаһрха,foramen
325,Winkel::N,булң,angulus
326,Muster::N,намч,exemplum
327,Größe::N,кемҗән,magnitudo
328,Länge::N,ут,longitudo
329,Höhe::N,өндр,altitudo
330,Gewicht::N,күнд,pondus
331,Gewicht::N,чиңнүр,pondus
332,Menge::N,ик,copia
333,Haufen::N,ова,acervus
334,Reihe::N,зерг,ordo
335,Reihe::N,зерглән,ordo
336,Boot::N,оңһц,navicula
337,Ruder::N,хәәв,remus
338,Schlitten::N,цан,sclodia
339,Ski::N,лыҗ,narta
340,Lagerfeuer::N,костёр,ignis
341,Last::N,күнд,onus
342,Gang::N,йовлһн,cursus
343,Schritt::N,ишкм,gradus
344,Norden::N,ар үзг,septentriones
345,Süden::N,өмн,meridies
346,Süden::N,өмн үзг,meridies
347,Westen::N,барун,occidens
348,Westen::N,барун үзг,occidens
349,Osten::N,зүн,oriens
350,Osten::N,зүн үзг,oriens
351,Holz::N,модн,lignum
352,Brett::N,харһа,tabula
353,Platte::N,хавтха чолун,lamina
354,Stütze::N,тулг,adminiculum
355,Stange::N,уньн,pertica
356,Stock::N,модн,baculum
357,Stab::N,шуург,scipio
358,Rohr::N,турва,tubus
359,Haus::N,гер,aedes
360,Heim::N,гер-бул,domicilium
361,Ofen::N,беш,fornax
362,Fußboden::N,девскр,solum
363,Tisch::N,ширә,mensa
364,Stuhl::N,стул,sella
365,Wiege::N,өлгә,cunae
366,Wiege::N,дүүҗң,cunae
367,Bett::N,орн,lectus
368,Bett::N,орндг,lectus
369,Regal::N,таг,foruli
370,Regal::N,тәвц,foruli
371,Kiste::N,яршг,cista
372,Fenster::N,терз,fenestra
373,Tür::N,үүдн,ianua
374,Tor::N,үүдн,porta
375,Tor::N,өргн үүдн,porta
376,Tor::N,хашан үүдн,porta
377,Zaun::N,хаша,saepes
378,Dach::N,деевр,tectum
379,Leiter::N,шат,scalae
380,Leiter::N,давшур,scalae
381,Besen::N,сәвүр,scopae
