,Concept_ID,zh,bg
0,Auge::N,眼睛,око
1,Ohr::N,耳朵,ухо
2,Nase::N,鼻子,нос
3,Mund::N,嘴,уста
4,Zahn::N,牙齿,зъб
5,Zunge::N,舌头,език
6,Lippe::N,嘴唇,устна
7,Wange::N,面颊,буза
8,Gesicht::N,脸,лице
9,Gesicht::N,脸,образ
10,Stirn::N,额,чело
11,Haar::N,头发,коса
12,Haar::N,头发,косъм
13,Schnurrbart::N,髭须,мустаци
14,Bart::N,胡子,брада
15,Kinn::N,下巴,брада
16,Kinn::N,下巴,брадичка
17,Kiefer[Anatomie]::N,颌,челюст
18,Kehle::N,嗓子,гърло
19,Hals::N,颈,врат
20,Genick::N,后颈,тил
21,Kopf::N,头,глава
22,Rücken::N,背,гръб
23,Bauch::N,肚子,корем
24,Nabel::N,肚脐,пъп
25,Busen::N,胸脯,бозка
26,Brust::N,胸,гръд
27,Schulter::N,肩膀,рамо
28,Schulter::N,肩膀,плещи
29,Arm::N,臂膀,ръка
30,Ellenbogen::N,肘,лакът
31,Hand::N,手,ръка
32,Hand::N,手,китка
33,Handfläche::N,手掌,длан
34,Finger::N,手指,пръст
35,Fingernagel::N,指甲,нокът
36,Nagel[Anatomie]::N,指甲,нокът
37,Zeh::N,脚趾,пръст на крак
38,Fuß::N,脚,крак
39,Fuß::N,脚,нога
40,Ferse::N,后跟,пета
41,Knie::N,膝,коляно
42,Oberschenkel::N,大腿,бедро
43,Bein::N,腿,крак
44,Bein::N,腿,нога
45,Körper::N,身体,тяло
46,Haut::N,皮肤,кожа
47,Blut::N,血,кръв
48,Ader::N,血管,вена
49,Ader::N,血管,артерия
50,Sehne::N,腱,жила
51,Sehne::N,腱,сухожилие
52,Knochen::N,骨,кост
53,Gehirn::N,脑,мозък
54,Herz::N,心,сърце
55,Magen::N,胃,стомах
56,Leber::N,肝,черен дроб
57,Atem::N,呼吸,дишане
58,Hunger::N,饿,глад
59,Träne::N,眼泪,сълза
60,Geschmack::N,味道,вкус
61,Geruch::N,气味,миризма
62,Schlaf::N,睡眠,сън
63,Traum::N,梦,сън
64,Himmel::N,天空,небе
65,Sonne::N,太阳,слънце
66,Mond::N,月亮,луна
67,Mond::N,月亮,месец
68,Stern::N,星,звезда
69,Luft::N,空气,въздух
70,Wind::N,风,вятър
71,Welle::N,波,вълна
72,Wasser::N,水,вода
73,Stein::N,石头,камък
74,Boden::N,地面,земя
75,Boden::N,地面,почва
76,Erde::N,地,земя
77,Erde::N,地,почва
78,Staub::N,灰尘,прах
79,Rauch::N,烟,дим
80,Rauch::N,烟,пушек
81,Funke::N,火花,искра
82,Feuer::N,火,огън
83,Licht::N,光,светлина
84,Schatten::N,影子,сянка
85,Wetter::N,天气,време
86,Nebel::N,雾,мъгла
87,Wolke::N,云,облак
88,Regen::N,雨,дъжд
89,Schnee::N,雪,сняг
90,Eis::N,冰,лед
91,Frost::N,霜冻,мраз
92,Kälte::N,寒冷,студ
93,Hitze::N,炎热,жега
94,Hitze::N,炎热,горещина
95,Raureif::N,霜,скреж
96,Raureif::N,霜,слана
97,Regenbogen::N,虹,дъга
98,Donner::N,雷,гръм
99,Strömung::N,水流,течение
100,Tropfen::N,滴,капка
101,Schaum::N,泡沫,пяна
102,Schmutz::N,赃物,кал
103,Schmutz::N,赃物,мръсотия
104,See::N,湖,езеро
105,Sumpf::N,沼泽,блато
106,Moor::N,沼泽,мочурище
107,Wiese::N,草地,ливада
108,Wald::N,森林,гора
109,Hügel::N,丘陵,рид
110,Hügel::N,丘陵,хълм
111,Anhöhe::N,山丘,могила
112,Anhöhe::N,山丘,възвишение
113,Berg::N,山,планина
114,Gipfel::N,峰,връх
115,Höhle::N,洞穴,пещера
116,Abhang::N,斜坡,склон
117,Abhang::N,斜坡,стръмнина
118,Quelle::N,泉,извор
119,Bach::N,溪,поток
120,Fluss::N,河流,река
121,Ufer::N,岸,бряг
122,Küste::N,海岸,бряг
123,Küste::N,海岸,крайбрежие
124,Festland::N,大陆,суша
125,Meer::N,海,море
126,Bucht::N,海湾,залив
