,Concept_ID,zh,ro
0,Auge::N,眼睛,ochi
1,Ohr::N,耳朵,ureche
2,Nase::N,鼻子,nas
3,Mund::N,嘴,gură
4,Zahn::N,牙齿,dinte
5,Zunge::N,舌头,limbă
6,Lippe::N,嘴唇,buză
7,Wange::N,面颊,bucă
8,Wange::N,面颊,obraz
9,Gesicht::N,脸,față
10,Gesicht::N,脸,figură
11,Stirn::N,额,frunte
12,Haar::N,头发,păr
13,Schnurrbart::N,髭须,mustață
14,Bart::N,胡子,barbă
15,Kinn::N,下巴,bărbie
16,Kiefer[Anatomie]::N,颌,falcă
17,Kehle::N,嗓子,beregată
18,Hals::N,颈,gât
19,Genick::N,后颈,ceafă
20,Kopf::N,头,cap
21,Rücken::N,背,dos
22,Rücken::N,背,spate
23,Rücken::N,背,spinare
24,Bauch::N,肚子,burtă
25,Bauch::N,肚子,pântece
26,Nabel::N,肚脐,buric
27,Busen::N,胸脯,sân
28,Brust::N,胸,piept
29,Schulter::N,肩膀,umăr
30,Schulter::N,肩膀,spate
31,Arm::N,臂膀,braț
32,Ellenbogen::N,肘,cot
33,Hand::N,手,mână
34,Handfläche::N,手掌,palmă
35,Finger::N,手指,deget
36,Fingernagel::N,指甲,unghie
37,Nagel[Anatomie]::N,指甲,unghie
38,Zeh::N,脚趾,deget de la picior
39,Fuß::N,脚,picior
40,Ferse::N,后跟,călcâi
41,Knie::N,膝,genunchi
42,Oberschenkel::N,大腿,coapsă
43,Bein::N,腿,picior
44,Körper::N,身体,corp
45,Haut::N,皮肤,piele
46,Blut::N,血,sânge
47,Ader::N,血管,vână
48,Ader::N,血管,arteră
49,Sehne::N,腱,tendon
50,Knochen::N,骨,os
51,Gehirn::N,脑,creier
52,Herz::N,心,inimă
53,Magen::N,胃,stomac
54,Leber::N,肝,ficat
55,Atem::N,呼吸,răsuflare
56,Atem::N,呼吸,respirație
57,Hunger::N,饿,foame
58,Träne::N,眼泪,lacrimă
59,Geschmack::N,味道,gust
60,Geruch::N,气味,miros
61,Schlaf::N,睡眠,somn
62,Traum::N,梦,vis
63,Himmel::N,天空,cer
64,Sonne::N,太阳,soare
65,Mond::N,月亮,lună
66,Stern::N,星,stea
67,Luft::N,空气,aer
68,Wind::N,风,vânt
69,Welle::N,波,val
70,Welle::N,波,undă
71,Wasser::N,水,apă
72,Stein::N,石头,piatră
73,Boden::N,地面,sol
74,Boden::N,地面,pământ
75,Erde::N,地,pământ
76,Staub::N,灰尘,praf
77,Rauch::N,烟,fum
78,Funke::N,火花,scânteie
79,Feuer::N,火,foc
80,Licht::N,光,lumină
81,Schatten::N,影子,umbră
82,Wetter::N,天气,timp
83,Wetter::N,天气,vreme
84,Nebel::N,雾,ceață
85,Nebel::N,雾,negură
86,Wolke::N,云,nor
87,Regen::N,雨,ploaie
88,Schnee::N,雪,zăpadă
89,Eis::N,冰,gheață
90,Frost::N,霜冻,ger
91,Kälte::N,寒冷,frig
92,Hitze::N,炎热,arșiță
93,Hitze::N,炎热,căldură
94,Raureif::N,霜,chiciură
95,Regenbogen::N,虹,curcubeu
96,Donner::N,雷,tunet
97,Strömung::N,水流,curent
98,Tropfen::N,滴,picătură
99,Schaum::N,泡沫,spumă
100,Schmutz::N,赃物,murdărie
101,See::N,湖,lac
102,Sumpf::N,沼泽,mlaștină
103,Moor::N,沼泽,bărăgan
104,Wiese::N,草地,fânaț
105,Wiese::N,草地,livadă
106,Wald::N,森林,codru
107,Wald::N,森林,pădure
108,Hügel::N,丘陵,deal
109,Hügel::N,丘陵,movilă
110,Anhöhe::N,山丘,deal
111,Anhöhe::N,山丘,ridicătură
112,Berg::N,山,munte
113,Gipfel::N,峰,pisc
114,Höhle::N,洞穴,peșteră
115,Abhang::N,斜坡,pantă
116,Abhang::N,斜坡,versant
117,Quelle::N,泉,izvor
118,Bach::N,溪,gârlă
119,Fluss::N,河流,râu
120,Fluss::N,河流,fluviu
121,Ufer::N,岸,mal
122,Ufer::N,岸,țărm
123,Küste::N,海岸,coastă
124,Festland::N,大陆,uscat
125,Meer::N,海,mare
